total_rooms,total_bedrooms,population,households
3360.0,648.0,1232.0,621.0
1693.0,391.0,669.0,367.0
2252.0,592.0,989.0,550.0
2495.0,491.0,1058.0,464.0
1193.0,200.0,506.0,207.0
1172.0,215.0,489.0,218.0
2159.0,424.0,824.0,388.0
2365.0,490.0,1034.0,475.0
1895.0,442.0,920.0,425.0
1650.0,395.0,841.0,380.0
453.0,146.0,749.0,137.0
409.0,97.0,208.0,98.0
503.0,118.0,228.0,100.0
499.0,127.0,287.0,128.0
477.0,119.0,218.0,106.0
1647.0,376.0,854.0,355.0
3123.0,749.0,1695.0,684.0
957.0,188.0,403.0,172.0
589.0,132.0,288.0,131.0
2026.0,548.0,963.0,521.0
1829.0,536.0,1129.0,516.0
895.0,198.0,386.0,204.0
1909.0,416.0,811.0,406.0
3022.0,696.0,1293.0,675.0
1777.0,446.0,805.0,431.0
2803.0,930.0,1372.0,876.0
1465.0,439.0,862.0,425.0
2619.0,682.0,1152.0,616.0
1149.0,255.0,483.0,249.0
2363.0,604.0,1558.0,573.0
2604.0,837.0,1798.0,769.0
685.0,141.0,266.0,123.0
1756.0,465.0,2184.0,422.0
1204.0,460.0,2016.0,477.0
609.0,236.0,1349.0,250.0
1087.0,371.0,3337.0,350.0
2773.0,998.0,1721.0,949.0
3218.0,1108.0,1675.0,1000.0
1350.0,368.0,707.0,350.0
3084.0,698.0,1424.0,694.0
938.0,195.0,393.0,189.0
1813.0,353.0,828.0,339.0
1233.0,300.0,571.0,292.0
2539.0,755.0,1382.0,713.0
1267.0,324.0,792.0,321.0
1665.0,404.0,815.0,372.0
1659.0,367.0,788.0,346.0
2225.0,460.0,1145.0,430.0
2485.0,607.0,1354.0,563.0
2031.0,450.0,958.0,445.0
2932.0,668.0,1361.0,608.0
2246.0,472.0,1005.0,449.0
2052.0,435.0,924.0,414.0
1999.0,417.0,780.0,358.0
3007.0,691.0,1582.0,636.0
2214.0,550.0,1213.0,568.0
1088.0,305.0,486.0,267.0
834.0,186.0,494.0,175.0
1769.0,372.0,849.0,365.0
2307.0,583.0,1127.0,548.0
5161.0,1744.0,3276.0,1742.0
3497.0,832.0,1493.0,794.0
3774.0,744.0,1461.0,679.0
2888.0,604.0,1253.0,538.0
2153.0,517.0,1656.0,459.0
1389.0,191.0,514.0,202.0
1709.0,318.0,719.0,295.0
1587.0,444.0,878.0,449.0
1668.0,225.0,517.0,214.0
3726.0,474.0,1366.0,496.0
4048.0,663.0,1316.0,590.0
3618.0,768.0,1508.0,755.0
4076.0,920.0,1800.0,815.0
2077.0,400.0,719.0,326.0
1279.0,300.0,675.0,255.0
1974.0,426.0,875.0,363.0
335.0,83.0,152.0,77.0
1375.0,307.0,843.0,319.0
610.0,145.0,281.0,132.0
1025.0,198.0,506.0,204.0
2063.0,484.0,1054.0,466.0
1872.0,419.0,1017.0,414.0
3108.0,813.0,1623.0,765.0
7355.0,2408.0,3100.0,2051.0
2990.0,379.0,947.0,361.0
2492.0,310.0,808.0,315.0
2991.0,335.0,1018.0,335.0
3242.0,366.0,1001.0,352.0
3051.0,381.0,1005.0,369.0
3494.0,396.0,1192.0,383.0
1757.0,246.0,585.0,227.0
2449.0,312.0,916.0,316.0
1611.0,203.0,556.0,179.0
3665.0,517.0,1470.0,520.0
2474.0,403.0,1104.0,398.0
3037.0,516.0,1242.0,518.0
2269.0,323.0,805.0,321.0
1316.0,177.0,378.0,162.0
1153.0,235.0,481.0,223.0
772.0,179.0,409.0,160.0
1711.0,386.0,885.0,373.0
2650.0,566.0,1468.0,567.0
1038.0,220.0,482.0,215.0
1527.0,320.0,825.0,264.0
859.0,157.0,429.0,158.0
970.0,217.0,528.0,208.0
1045.0,239.0,496.0,216.0
1408.0,280.0,718.0,265.0
1222.0,264.0,630.0,265.0
1169.0,263.0,723.0,286.0
2020.0,535.0,959.0,486.0
4145.0,869.0,3668.0,855.0
2038.0,368.0,2037.0,355.0
5154.0,,3741.0,1273.0
1241.0,309.0,821.0,300.0
1468.0,363.0,870.0,347.0
3997.0,1073.0,1901.0,966.0
2873.0,763.0,1243.0,663.0
1487.0,306.0,730.0,327.0
1670.0,350.0,793.0,299.0
2252.0,388.0,1033.0,434.0
1731.0,377.0,872.0,363.0
1710.0,481.0,849.0,457.0
2388.0,559.0,1121.0,518.0
2156.0,458.0,872.0,445.0
1565.0,315.0,637.0,297.0
1704.0,371.0,663.0,340.0
1210.0,168.0,411.0,172.0
2097.0,444.0,915.0,413.0
1848.0,479.0,921.0,477.0
955.0,284.0,585.0,266.0
4329.0,1110.0,2086.0,1053.0
3011.0,542.0,1303.0,535.0
1049.0,185.0,374.0,176.0
2504.0,516.0,979.0,472.0
1846.0,471.0,827.0,446.0
1705.0,246.0,658.0,253.0
1542.0,289.0,654.0,268.0
891.0,,384.0,146.0
4051.0,753.0,1499.0,797.0
2646.0,581.0,1128.0,522.0
2428.0,525.0,1110.0,492.0
2567.0,436.0,1119.0,415.0
7031.0,1249.0,2930.0,1235.0
1914.0,365.0,897.0,390.0
18634.0,2885.0,7427.0,2718.0
5785.0,1379.0,2973.0,1312.0
2876.0,648.0,1340.0,632.0
6909.0,1554.0,2974.0,1484.0
5679.0,1270.0,2690.0,1151.0
1156.0,365.0,583.0,326.0
14316.0,2045.0,5781.0,2007.0
3596.0,467.0,1738.0,512.0
3541.0,570.0,1478.0,529.0
1808.0,302.0,746.0,270.0
2879.0,480.0,1235.0,455.0
3204.0,477.0,1411.0,484.0
3866.0,531.0,1368.0,521.0
2476.0,368.0,1048.0,367.0
2211.0,350.0,1004.0,365.0
2663.0,387.0,1086.0,367.0
2599.0,366.0,922.0,350.0
4569.0,824.0,1950.0,819.0
2973.0,622.0,1413.0,595.0
3115.0,625.0,1444.0,568.0
1843.0,282.0,749.0,269.0
2053.0,336.0,867.0,329.0
6740.0,1073.0,2723.0,1035.0
1751.0,269.0,731.0,263.0
1663.0,295.0,781.0,301.0
3716.0,657.0,1784.0,652.0
2718.0,447.0,1156.0,410.0
1420.0,272.0,645.0,277.0
1893.0,310.0,821.0,315.0
3906.0,790.0,1912.0,770.0
3400.0,736.0,1487.0,694.0
3402.0,758.0,1645.0,710.0
4413.0,1107.0,2239.0,1051.0
2304.0,618.0,1021.0,552.0
2350.0,499.0,1105.0,467.0
5914.0,1309.0,2999.0,1295.0
1575.0,324.0,740.0,284.0
1414.0,274.0,629.0,244.0
848.0,202.0,314.0,205.0
3051.0,685.0,1479.0,668.0
4296.0,817.0,1732.0,800.0
2898.0,557.0,1338.0,550.0
1071.0,201.0,440.0,192.0
2619.0,403.0,922.0,393.0
1494.0,316.0,611.0,288.0
2260.0,416.0,994.0,412.0
1394.0,223.0,545.0,230.0
1028.0,129.0,317.0,143.0
3758.0,819.0,1573.0,736.0
2163.0,470.0,925.0,435.0
1699.0,408.0,768.0,385.0
1555.0,289.0,620.0,292.0
1114.0,206.0,425.0,207.0
1498.0,313.0,1003.0,305.0
726.0,147.0,519.0,135.0
890.0,200.0,481.0,198.0
2639.0,533.0,1209.0,519.0
2562.0,554.0,1398.0,525.0
361.0,69.0,158.0,58.0
3008.0,659.0,1817.0,664.0
1369.0,284.0,766.0,289.0
1692.0,398.0,814.0,328.0
1007.0,245.0,618.0,239.0
3783.0,814.0,2139.0,789.0
1507.0,242.0,632.0,253.0
666.0,132.0,366.0,134.0
2229.0,601.0,877.0,485.0
2215.0,587.0,830.0,573.0
1616.0,372.0,739.0,379.0
1190.0,251.0,540.0,266.0
4169.0,1047.0,2024.0,962.0
2024.0,320.0,823.0,334.0
1723.0,394.0,711.0,353.0
2264.0,390.0,931.0,368.0
1996.0,268.0,686.0,270.0
2862.0,394.0,1030.0,397.0
2183.0,383.0,976.0,392.0
1037.0,207.0,552.0,210.0
1134.0,153.0,340.0,171.0
786.0,132.0,288.0,132.0
1397.0,253.0,555.0,248.0
2315.0,451.0,1006.0,444.0
1613.0,339.0,776.0,346.0
1421.0,298.0,609.0,270.0
5778.0,1526.0,2441.0,1352.0
3094.0,866.0,1364.0,789.0
3905.0,1007.0,2197.0,1044.0
3046.0,557.0,1333.0,544.0
3516.0,710.0,1810.0,703.0
998.0,178.0,531.0,183.0
1464.0,244.0,672.0,261.0
1463.0,292.0,695.0,330.0
4124.0,1054.0,2162.0,998.0
2380.0,769.0,1216.0,643.0
1266.0,228.0,606.0,239.0
2239.0,391.0,1203.0,379.0
1571.0,317.0,874.0,301.0
1246.0,221.0,637.0,222.0
1501.0,287.0,703.0,276.0
1468.0,252.0,733.0,229.0
1118.0,219.0,625.0,228.0
1097.0,208.0,568.0,225.0
1719.0,303.0,836.0,311.0
1755.0,365.0,952.0,362.0
1687.0,348.0,568.0,352.0
2262.0,391.0,1125.0,366.0
2087.0,407.0,840.0,401.0
1480.0,278.0,796.0,283.0
1545.0,273.0,863.0,267.0
2632.0,447.0,1349.0,486.0
2261.0,443.0,929.0,383.0
1670.0,308.0,957.0,335.0
2141.0,535.0,1093.0,555.0
3337.0,613.0,1489.0,607.0
3184.0,716.0,1561.0,628.0
2341.0,500.0,1256.0,485.0
1197.0,269.0,695.0,279.0
1131.0,278.0,560.0,237.0
1164.0,284.0,632.0,289.0
3495.0,787.0,1849.0,750.0
2488.0,617.0,1287.0,538.0
2681.0,508.0,1580.0,536.0
2495.0,635.0,1571.0,579.0
1689.0,461.0,828.0,443.0
1298.0,306.0,835.0,338.0
2693.0,789.0,1765.0,724.0
746.0,,387.0,161.0
2444.0,651.0,1562.0,618.0
1472.0,310.0,768.0,309.0
2227.0,560.0,1140.0,472.0
200.0,25.0,83.0,31.0
1283.0,194.0,485.0,171.0
2445.0,590.0,1189.0,573.0
1307.0,236.0,586.0,249.0
3785.0,936.0,2240.0,792.0
2031.0,357.0,867.0,352.0
8299.0,1326.0,3827.0,1288.0
7518.0,1279.0,3827.0,1294.0
1815.0,426.0,1280.0,431.0
5367.0,1207.0,2667.0,1047.0
1167.0,370.0,253.0,137.0
2607.0,682.0,1401.0,607.0
493.0,168.0,233.0,152.0
1252.0,305.0,673.0,308.0
1382.0,353.0,704.0,314.0
500.0,110.0,273.0,120.0
2333.0,538.0,1120.0,540.0
1834.0,463.0,1105.0,467.0
1415.0,348.0,569.0,293.0
1352.0,342.0,691.0,324.0
2116.0,503.0,1109.0,448.0
1976.0,481.0,1197.0,465.0
1779.0,413.0,1061.0,400.0
3659.0,897.0,2479.0,903.0
1892.0,428.0,1162.0,389.0
1958.0,484.0,1146.0,448.0
1553.0,253.0,724.0,267.0
2412.0,394.0,975.0,375.0
2110.0,389.0,952.0,370.0
2179.0,401.0,1159.0,399.0
2457.0,445.0,1129.0,422.0
2147.0,399.0,1175.0,401.0
1676.0,340.0,924.0,328.0
2976.0,518.0,1424.0,538.0
3036.0,533.0,1366.0,500.0
2472.0,398.0,1171.0,390.0
1487.0,249.0,641.0,243.0
2012.0,347.0,880.0,332.0
3342.0,,1635.0,557.0
3156.0,534.0,1495.0,543.0
1748.0,318.0,914.0,317.0
3429.0,681.0,1798.0,694.0
3592.0,703.0,1625.0,665.0
1035.0,247.0,599.0,224.0
3028.0,811.0,2037.0,703.0
2431.0,655.0,1854.0,603.0
2069.0,500.0,1408.0,478.0
1340.0,313.0,766.0,271.0
1160.0,259.0,725.0,274.0
2015.0,318.0,1019.0,340.0
3882.0,816.0,1830.0,743.0
3239.0,671.0,1469.0,616.0
2932.0,739.0,1198.0,624.0
2104.0,409.0,1039.0,394.0
1694.0,251.0,690.0,242.0
3000.0,419.0,1155.0,415.0
2419.0,348.0,1066.0,384.0
2280.0,610.0,1255.0,587.0
5031.0,1168.0,2461.0,1042.0
1547.0,372.0,1063.0,356.0
3300.0,790.0,2181.0,740.0
5018.0,1439.0,3069.0,1299.0
1813.0,393.0,1093.0,374.0
1997.0,436.0,1349.0,437.0
901.0,191.0,599.0,206.0
686.0,142.0,480.0,149.0
1954.0,464.0,1293.0,448.0
2630.0,722.0,1414.0,634.0
1130.0,192.0,543.0,184.0
1184.0,200.0,572.0,194.0
656.0,115.0,342.0,112.0
2544.0,643.0,2332.0,603.0
1305.0,225.0,768.0,234.0
1755.0,316.0,913.0,299.0
2843.0,652.0,1726.0,643.0
2538.0,494.0,1185.0,501.0
1784.0,311.0,735.0,278.0
1797.0,327.0,796.0,319.0
410.0,76.0,252.0,82.0
162.0,27.0,86.0,25.0
9963.0,2031.0,5613.0,1946.0
2361.0,458.0,1727.0,467.0
862.0,167.0,407.0,183.0
4335.0,808.0,2041.0,734.0
1487.0,280.0,854.0,301.0
3592.0,849.0,1907.0,746.0
432.0,102.0,264.0,77.0
1457.0,242.0,735.0,249.0
1578.0,284.0,836.0,292.0
2172.0,435.0,1377.0,408.0
1340.0,245.0,789.0,248.0
1116.0,199.0,662.0,226.0
1885.0,307.0,853.0,271.0
1180.0,212.0,664.0,200.0
5267.0,1253.0,4065.0,1113.0
1897.0,440.0,1109.0,418.0
767.0,171.0,548.0,185.0
691.0,127.0,431.0,149.0
786.0,133.0,463.0,160.0
5861.0,1516.0,5436.0,1463.0
2784.0,723.0,2028.0,693.0
4524.0,860.0,2426.0,862.0
1468.0,304.0,1038.0,282.0
1655.0,450.0,857.0,430.0
1227.0,286.0,848.0,291.0
1160.0,252.0,729.0,220.0
